ref_number,job_number,pos_number,date,pos_title_en,pos_title_fr,old_class_group_code,old_class_level,new_class_group_code,new_class_level,old_differential,new_differential,reason_en,reason_fr,record_created,record_modified,user_modified,owner_org,log_date,log_activity
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-08-31,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-08-31,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-08-31,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-08-31,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-08-31,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-08-31,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-08-31,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-08-31,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-08-31,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-09-10,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-09-10,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-09-10,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-09-10,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-09-10,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-09-10,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-09-10,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-09-10,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-09-10,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-09-10,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-09-10,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-05,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-05,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-05,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-05,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-05,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-05,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-05,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-05,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-05,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-05,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-05,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-05,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-06,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-06,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-06,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-06,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-06,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-06,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-06,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-06,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-06,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-06,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-06,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-06,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-29,D
PR-2020-Q2-00001,218557,94645,2020-09-18,"Surpervis, Security Screening","Surveillant, Insp de sécurité",AS,3,AS,4,X,X,A,A,2020-10-14 16:35:33.264262,2020-10-14 16:35:33.264262,rodrigd1,ic,2021-10-07,D
PR-2020-Q2-00002,218353,101595,2020-09-08,"Chief, Linguistic Services","Chef, services linguistiques",IS,4,IS,5,X,X,A,A,2020-10-14 16:35:33.264262,2020-10-14 16:35:33.264262,rodrigd1,ic,2021-10-07,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-07,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-07,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-07,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-07,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-07,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-07,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-07,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-07,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-07,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-07,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-07,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-07,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-13,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-13,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-13,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-13,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-13,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-13,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-13,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-13,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-13,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-13,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-13,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-13,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-22,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-22,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-22,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-22,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-22,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-22,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-22,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-22,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-22,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-22,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-22,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-22,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-23,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-23,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-23,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-23,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-23,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-23,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-23,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-23,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-23,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-23,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-23,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-23,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-26,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-26,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-26,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-26,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-26,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-26,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-26,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-26,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-26,D
,000327,00129224,2019-10-18,IT Research Analyst,Analyste en recherche sur TI,CS,1,CS,2,,,Change of duties,Changements dans les fonctions,2020-01-28 14:35:54.853718,2020-01-28 14:35:54.853718,mfanjoy,opc-cpvp,2021-10-26,D
,,,,,,,,,,,,Change of duties,Changement des fonctions,2020-10-09 14:10:11.015126,2020-10-09 14:10:11.015126,edite-pacheco,statcan,2021-10-26,D
,192,102837,2019-02-18,G- Senior Communication Advisor,G- Conseiller(ère) principal(e) en communication,IS,04,IS,05,,,Change of duties,Changements des fonctions de travail,2021-04-23 10:59:40.231447,2021-04-23 10:59:40.231447,juliedespatie,wage,2021-10-26,D
ATN,000327,00104146,2018-04-01,ATIP Coordinator,Coordinateur AIPRP,PM,4,PM,5,40,60,New law regarding proactive disclosure + mgt of a new team,Nouvelle loi sur  divulgation proactive - Nouveau rôle gestion équipe,,,,cta-otc,2021-10-27,D
PR-2016-Q1-00001,000120,00024274 (Old ID-IDA-007),2015-04-01,Senior Economist,Économiste principal,EC,5,EC,5,,,Substantial change in duties or responsibilities,Changement important aux fonctions ou responsabilités,,,,cta-otc,2021-10-27,D
PR-2016-Q1-00002,000211,00024338 (Old CM-FAP-028),2014-08-29,"Team Leader, Procurement","Chef d'équipe, Approvisionnement",PG,3,PG,4,,,Substantial change in duties or responsibilities,Changement important aux fonctions ou responsabilités,,,,cta-otc,2021-10-27,D
,508573,00036911,2017-04-24,"Manager, Ressources Services",Gestionnaire des ressources,AS,5,AS,6,,,Change in duties,Changement dans les fonctions,,,,aandc-aadnc,2021-10-27,D
,,ATS-00421,2016-12-02,"Manager, Business Intelligence and Performance","Gestionnaire, Renseignements d'affaires et rendement",EC,7,AS,6,,,Change of duties,Changement dans les fonctions,,,,atssc-scdata,2021-10-27,D
,000017,21590,2018-06-18,"Director, Customer Experience and Business intelligence","Directeur(rice, Expérience client et information d'affaires",CO,4,EX,1,,,Restructuring and a review of the EX structure,Restructuration et une révision de la structure EX,,,,ced-dec,2021-10-27,D
,511728,00515665,2019-02-07,Executive Assistant (S),Adjoint(e) Exécutif(ive) (S),AS,2,AS,1,,,,,2020-05-29 12:53:14.427852,2020-05-29 12:53:14.427852,emilie,cic,2021-10-27,D
,514128,51683,2019-05-02,"Director General, Communications and External Relations","Directeur général, Communications et relations externes",EX,3,EX,2,,,Change of duties related to a reorganization,Changement de fonctions reliées à une réorganisation,,,,crtc,2021-10-27,D
,514551,00043174,2018-01-01,Administrative Assistant,Adjoint administratif,AS,1,AS,2,EX-01,EX-01,"Review and Update (Reclassification) Gr & Level AS-01 to AS-02 / Effective date Jan 1, 2018",Revue et mise à jour (reclassification) Gr & Niveau AS-01 à AS-02 / Date d'entrée en vigueur 1 janvier 2018,2021-02-01 13:20:14.050251,2021-02-01 13:20:14.050251,crtcatip,crtc,2021-10-27,D
,001438,00001201,2016-04-01,"Manager, Executive Services","Gestionnaire, Services Exécutifs",AS,5,AS,6,,,Upward reclassification of the position and modification of the security level.,Reclassification à la hausse du poste et modification du niveau de sécurité. ,,,,lac-bac,2021-10-27,D
,,00024958,2016-09-01,"Senior Case Analyst, Access Complaint","Analyste de cas principal, Plaintes liées à l'accès",PM,4,PM,5,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-27,D
,,00024975,2017-04-01,"Director, Business Planning, Performance, Audit and Evaluation","Directeur, Planification des opérations, rendement, vérification et évaluation",AS,7,EX,1,,,Change of duties,Changement dans les fonctions,,,,opc-cpvp,2021-10-27,D
